real_time_ms [ms],sim_time_ms [ms],timestamp_ms [ms],publish_time [ms],distance_traveled [m],battery_consumption [%],min_obstacle_distance [m],goal_reached,distance_to_goal [m]
1780134648446,239700,239700,0,1.07882,0.000558931,0.535201,0,2.39002
1780134649454,240300,240300,0,1.07882,0.000558931,0.529163,0,2.39002
1780134650442,240600,240600,0,1.07882,0.000558932,0.541621,0,2.39002
1780134651450,241200,241200,0,1.07882,0.000558932,0.540176,0,2.39002
1780134652448,241600,241600,0,1.07882,0.000558932,0.546447,0,2.39002
1780134653457,241900,241900,0,1.07882,0.000558932,0.534828,0,2.39002
1780134654466,242300,242300,0,1.07882,0.000558932,0.539821,0,2.39002
1780134655445,242600,242600,0,1.07882,0.000558932,0.550076,0,2.39002
1780134656443,242800,242800,0,1.07882,0.000558932,0.543389,0,2.39002
1780134657483,243100,243100,0,1.07882,0.000558932,0.538866,0,2.39002
1780134658475,243500,243500,0,1.07882,0.000558932,0.538184,0,2.39002
1780134659445,243800,243800,0,1.07882,0.000558933,0.542626,0,2.39002
1780134660448,244100,244100,0,1.07882,0.000558933,0.528573,0,2.39002
1780134661444,244500,244500,0,1.07882,0.000558933,0.543758,0,2.39002
1780134662461,244800,244800,0,1.07882,0.000558933,0.537131,0,2.39002
1780134663451,245200,245200,0,1.07882,0.000558933,0.540033,0,2.39002
1780134664448,245400,245400,0,1.07882,0.000558933,0.541293,0,2.39002
1780134665449,245800,245800,0,1.07882,0.000558933,0.54509,0,2.39002
1780134666450,246200,246200,0,1.07882,0.000558933,0.535782,0,2.39002
1780134667459,246400,246400,0,1.07882,0.000558934,0.542718,0,2.39002
1780134668456,246700,246700,0,1.07882,0.000558934,0.537805,0,2.39002
1780134669446,247000,247000,0,1.07882,0.000558934,0.532995,0,2.39002
1780134670462,247300,247300,0,1.07882,0.000558934,0.538272,0,2.39002
1780134671451,247700,247700,0,1.07882,0.000558934,0.52746,0,2.39002
1780134672441,248200,248200,0,1.07882,0.000558934,0.537414,0,2.39002
1780134673442,248700,248700,0,1.07882,0.000558934,0.541165,0,2.39002
1780134674449,249200,249200,0,1.07882,0.000558935,0.534654,0,2.39002
1780134675439,249800,249800,0,1.07882,0.000558935,0.539052,0,2.39002
1780134676442,250600,250600,0,1.07882,0.000558935,0.534764,0,2.39002
1780134677439,251400,251400,0,1.07882,0.000558935,0.542281,0,2.39002
1780134678440,252300,252300,0,1.07882,0.000558935,0.545982,0,2.39002
1780134679439,252900,252900,0,1.07882,0.000558935,0.540317,0,2.39002
1780134680439,253700,253700,0,1.07882,0.000558935,0.53658,0,2.39002
1780134681439,254400,254400,0,1.07882,0.000558935,0.54252,0,2.39002
1780134682440,255400,255400,0,1.07882,0.000558935,0.546611,0,2.39002
1780134683440,256100,256100,0,1.07882,0.000558936,0.542372,0,2.39002
1780134684441,256800,256800,0,1.07882,0.000558936,0.539888,0,2.39002
1780134685440,257500,257500,0,1.07882,0.000558936,0.544769,0,2.39002
1780134686441,258400,258400,0,1.07882,0.000558936,0.530053,0,2.39002
1780134687441,259300,259300,0,1.07882,0.000558936,0.541979,0,2.39002
1780134688442,260200,260200,0,1.07882,0.000558936,0.541524,0,2.39002
1780134689441,261000,261000,0,1.07883,0.000558936,0.542052,0,2.39002
1780134690442,261800,261800,0,1.07883,0.000558936,0.539219,0,2.39002
1780134691442,262700,262700,0,1.07883,0.000558936,0.534447,0,2.39002
1780134692443,263700,263700,0,1.07883,0.000558937,0.536169,0,2.39002
1780134693443,264400,264400,0,1.07883,0.000558937,0.536371,0,2.39002
1780134694442,265300,265300,0,1.07883,0.000558937,0.540562,0,2.39002
1780134695443,266300,266300,0,1.07883,0.000558937,0.528079,0,2.39002
1780134696443,267100,267100,0,1.07883,0.000558937,0.540613,0,2.39002
1780134697444,268000,268000,0,1.07883,0.000558937,0.537762,0,2.39002
1780134698444,269000,269000,0,1.07883,0.000558937,0.52629,0,2.39002
1780134699443,269800,269800,0,1.07883,0.000558938,0.546763,0,2.39002
1780134700443,270700,270700,0,1.07883,0.000558938,0.534828,0,2.39002
1780134701444,271500,271500,0,1.07883,0.000558938,0.537467,0,2.39002
1780134702440,272500,272500,0,1.07883,0.000558938,0.532639,0,2.39002
1780134703440,273400,273400,0,1.07883,0.000558938,0.52899,0,2.39002
1780134704440,274400,274400,0,1.07883,0.000558938,0.537385,0,2.39002
1780134705441,275300,275300,0,1.07883,0.000558938,0.549492,0,2.39002
1780134706441,276300,276300,0,1.07883,0.000558938,0.5422,0,2.39002
1780134707441,277300,277300,0,1.07883,0.000558938,0.542352,0,2.39002
1780134708442,278000,278000,0,1.07883,0.000558938,0.54488,0,2.39002
1780134709442,278900,278900,0,1.07883,0.000558939,0.536396,0,2.39002
1780134710441,279800,279800,0,1.07883,0.000558939,0.538914,0,2.39002
1780134711443,280600,280600,0,1.07883,0.000558939,0.536324,0,2.39002
1780134712449,281500,281500,0,1.07883,0.000558939,0.526964,0,2.39002
1780134713442,282300,282300,0,1.07883,0.000558939,0.548024,0,2.39002
1780134714443,283200,283200,0,1.07883,0.000558939,0.531969,0,2.39002
1780134715442,284100,284100,0,1.07883,0.000558939,0.538216,0,2.39002
1780134716443,285000,285000,0,1.07883,0.00055894,0.548377,0,2.39002
1780134717443,285900,285900,0,1.07883,0.00055894,0.53397,0,2.39002
1780134718445,286800,286800,0,1.07883,0.00055894,0.53375,0,2.39002
